City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
432,Beringovskiy,63.05,179.3167,40.55,75,100,8.61,overcast clouds,RU,2022-05-22 19:34:34
433,Nemuro,43.3236,145.575,45.41,98,100,11.81,light rain,JP,2022-05-22 19:34:34
434,Canton,23.1167,113.25,76.87,79,100,6.2,overcast clouds,CN,2022-05-22 19:29:38
435,Cabo San Lucas,22.8909,-109.9124,84.61,44,0,3.44,clear sky,MX,2022-05-22 19:30:21
436,Tougan,13.0667,-3.0667,87.58,42,99,8.88,overcast clouds,BF,2022-05-22 19:34:35
437,Kita,13.0349,-9.4895,95.18,22,94,3.02,overcast clouds,ML,2022-05-22 19:34:35
438,Konjic,43.6519,17.9614,67.08,88,16,1.63,few clouds,BA,2022-05-22 19:34:35
439,Paris,48.8534,2.3488,70.09,66,0,10.36,clear sky,FR,2022-05-22 19:31:46
440,Shetpe,44.1667,52.1167,60.42,44,0,19.1,clear sky,KZ,2022-05-22 19:34:36
441,Traralgon,-38.1833,146.5333,42.76,98,22,2.17,few clouds,AU,2022-05-22 19:31:14
442,Camana,-16.6228,-72.7111,68.81,74,87,10.25,overcast clouds,PE,2022-05-22 19:34:36
443,Lebyazhye,55.2689,66.4947,43.11,78,100,12.62,overcast clouds,RU,2022-05-22 19:34:36
444,Guilin,25.2819,110.2864,66.31,99,100,5.14,overcast clouds,CN,2022-05-22 19:34:37
445,Faro,37.0194,-7.9322,75.18,60,0,18.41,clear sky,PT,2022-05-22 19:32:17
446,Hofn,64.2539,-15.2082,47.25,69,30,16.84,scattered clouds,IS,2022-05-22 19:34:37
447,Lolodorf,3.2333,10.7333,70.57,100,92,2.35,overcast clouds,CM,2022-05-22 19:34:37
448,Salamiyah,35.0113,37.0532,60.85,66,0,18.61,clear sky,SY,2022-05-22 19:34:39
449,Abu Kamal,34.4506,40.9171,84.33,27,100,27.07,overcast clouds,SY,2022-05-22 19:34:39
450,Barcelos,41.5388,-8.6151,67.84,94,59,5.08,broken clouds,PT,2022-05-22 19:34:39
451,Arlit,18.7369,7.3853,93.47,14,97,4.43,overcast clouds,NE,2022-05-22 19:34:40
452,Turukhansk,65.8167,87.9833,52.54,73,80,5.88,broken clouds,RU,2022-05-22 19:34:40
453,Zhenlai,45.8495,123.2973,63.55,38,16,7.52,few clouds,CN,2022-05-22 19:34:40
454,Port Augusta,-32.5,137.7667,60.28,69,100,2.8,overcast clouds,AU,2022-05-22 19:34:41
455,Sobradinho,-12.8333,-39.1,72.97,77,1,6.91,clear sky,BR,2022-05-22 19:34:41
456,Butembo,0.15,29.2833,58.17,97,84,2.46,light rain,CD,2022-05-22 19:34:41
457,Iquique,-20.2208,-70.1431,64.44,73,29,8.32,scattered clouds,CL,2022-05-22 19:34:42
458,Bauchi,10.5,10.0,81.12,51,92,5.26,light rain,NG,2022-05-22 19:34:42
459,Namatanai,-3.6667,152.4333,79.32,71,46,9.73,scattered clouds,PG,2022-05-22 19:34:42
460,Bowen,-20.0167,148.2333,69.01,82,100,9.26,overcast clouds,AU,2022-05-22 19:34:43
461,Rumoi,43.9344,141.6428,55.04,95,100,2.15,overcast clouds,JP,2022-05-22 19:34:43
